"abkuerzung","bezeichnung","bis","fk_zaehler","id1","richtung_in","richtung_out","von","objectid","korrekturfaktor","geometry"
"VZS_FISC","Fischerweg","20200203000000","Y0410090357","52","Innenstadt","Stadtgrenze","20100709000000","25","1.0000000000","POINT (2678956 1250442.9)"
"VZS_LIMC","Limmatquai --> Central","20200626000000","Y2G14045586","62","Central","","20140625000000","26","1.3300000000","POINT (2683457 1247064.9)"
"FZS_HARD","Hardeggsteg","20160331000000","U15G4025180","1","Kloster-Fahr-Weg","Hardturmstrasse","20151001000000","27","0.8600000000","POINT (2680439 1249929.9)"
"FZS_ALTO","Altstetterstrasse Ost","20200824000000","U15G3063866","2","Bhf. Altstetten","Lindenplatz","20151001000000","28","1.0200000000","POINT (2679190.2 1249435.9)"
"VZS_HOFW","Hofwiesenstrasse","20230118000000","ECO09113507","2977","Bucheggplatz","---","20190619000000","29","1.2800000000","POINT (2682681.5 1250569.8)"
"FZS_LETL","Lettenviadukt (Limmatstr.)","20201005000000","U15G3063869","2999","Limmat","Gleisanlagen","20200501000000","30","0.7900000000","POINT (2682171 1249123.9)"
"FZS_CHOR","Chorherrenweg","20201005000000","U15G3063873","3000","Limmat","Meierhofplatz","20200501000000","31","0.7400000000","POINT (2680001.2 1250595.2)"
"VZS_BASL","Baslerstrasse","","Y2H20063173","3003","Bhf. Altstetten","Letzipark","20200716000000","32","1.0000000000","POINT (2679767.2 1248986.1)"
"FZS_HARD","Hardeggsteg","20220405000000","U15G3063873","3020","Kloster-Fahr-Weg","Hardturmstrasse","20210923000000","33","0.8600000000","POINT (2680439.2 1249929.5)"
"VZS_SCHE","Scheuchzerstrasse","20181220000000","ECO09113501","8","Innenstadt","Irchel","20100923000000","34","1.0500000000","POINT (2683573 1248544.9)"
"FZS_MYTH","Mythenquai Unterführung","20160404000000","U15G3104443","64","Seeufer","Bhf. Wollishofen","20151007000000","35","0.8500000000","POINT (2682813 1245489.9)"
"FZS_ALTW","Altstetterstrasse West","20200214000000","U15G3104445","65","Bhf. Altstetten","Lindenplatz","20151016000000","36","1.0700000000","POINT (2679174 1249437.9)"
"FZS_INGA","In Gassen","20170830000000","YPH15108550","384","Paradeplatz","Rathaus","20151021000000","37","0.9500000000","POINT (2683267 1247228.9)"
"VZS_SAUM","Saumackerstrasse","20191115000000","Y2G13124875","56","Uetliberg","Bahnhof Altstetten","20140311000000","38","1.2700000000","POINT (2679337 1249345.9)"
"VZS_LANN","Langstrasse (Unterführung Nord)","20170711000000","Y2G12102807","55","Helvetiaplatz","Limmatplatz","20130627000000","39","0.9600000000","POINT (2682278 1248324.9)"
"FZS_KATZ","Katzenbach","20151001000000","U15G3104442","34","Affoltern","Seebach","20150331000000","40","0.1800000000","POINT (2681402 1253279.9)"
"FZS_QUAN","Quaibrücke Nord (Limmatseite)","20151124000000","U15G3063868","26","Bellevue","Bürkliplatz","20130823000000","41","0.8700000000","POINT (2683403.2 1246821.1)"
"VZS_LANS","Langstrasse (Unterführung Süd)","20180615000000","Y2H16039396","2962","Helvetiaplatz","Limmatplatz","20180424000000","42","1.0000000000","POINT (2682360 1248448.2)"
"FZS_LETL","Lettenviadukt (Limmatstr.)","20160930000000","U15G3063869","390","Limmat","Gleisanlagen","20160330000000","43","0.7900000000","POINT (2682171 1249123.9)"
"VZS_SCHE","Scheuchzerstrasse","","Y2H19111477","2993","Innenstadt","Irchel","20200110000000","44","1.0500000000","POINT (2683573.2 1248544.9)"
"VZS_LIMC","Limmatquai --> Central","20200824000000","ECO14043895","3004","Central","","20200715000000","45","1.3300000000","POINT (2683457.2 1247064.5)"
"FZS_HARD","Hardeggsteg","20140320000000","U15G2092649","18","Kloster-Fahr-Weg","Hardturmstrasse","20131128000000","46","0.8600000000","POINT (2680439 1249929.9)"
"FZS_ALTO","Altstetterstrasse Ost","20150331000000","U15G3063866","23","Bhf. Altstetten","Lindenplatz","20131128000000","47","1.0200000000","POINT (2679190 1249435.9)"
"FZS_ALTW","Altstetterstrasse West","20150331000000","U15G3104445","43","Bhf. Altstetten","Lindenplatz","20131128000000","48","1.0700000000","POINT (2679174 1249437.9)"
"FZS_CASS","Cassiopeiasteg","20151007000000","U15G3104443","36","Stadtgrenze","Bellevue","20150430000000","49","0.9100000000","POINT (2683020.2 1244136.2)"
"FZS_CHOR","Chorherrenweg","20151001000000","U15G4025180","50","Limmat","Meierhofplatz","20150331000000","50","0.7400000000","POINT (2680002 1250595.9)"
"FZS_HARD","Hardeggsteg","20150331000000","U15G4025180","51","Kloster-Fahr-Weg","Hardturmstrasse","20140320000000","51","0.8600000000","POINT (2680439 1249929.9)"
"FZS_INGA","In Gassen","20150909000000","YPH14106664","63","Paradeplatz","Rathaus","20141107000000","52","0.9500000000","POINT (2683267 1247228.9)"
"FZS_LETD","Letten / Dynamo","20150331000000","U15G3063869","27","Limmatplatz","Hauptbahnhof","20140710000000","53","0.8900000000","POINT (2682978 1248743.9)"
"FZS_LETD","Letten / Dynamo","20160329000000","U15G3063869","3","Limmatplatz","Hauptbahnhof","20151001000000","54","0.8900000000","POINT (2682978 1248743.9)"
"FZS_OHMO","Ohmstrasse Ost","20151001000000","U15G3063866","24","Bhf. Oerlikon","Sternen Oerlikon","20150331000000","55","1.0700000000","POINT (2683557.5 1251702.4)"
"FZS_OHMW","Ohmstrasse West","20150925000000","U15G3104445","44","Bhf. Oerlikon","Sternen Oerlikon","20150331000000","56","1.2600000000","POINT (2683573 1251686.9)"
"VZS_SCHU","Schulstrasse","20230322000000","ECO10053914","2978","Irchel","Bahnhof Oerlikon","20190619000000","57","1.4300000000","POINT (2683405.5 1251617.1)"
"FZS_LETD","Letten / Dynamo","20220405000000","U15G3063869","3021","Limmatplatz","Hauptbahnhof","20210923000000","58","0.8900000000","POINT (2682977.8 1248744)"
"VZS_BINZ","Binzmühlestrasse","","Y2H21015036","4257","Glaubtenstrasse","Oerlikon","20221208000000","59","1.2200000000","POINT (2681857 1251990.9)"
"FZS_LANS","Langstrasse (Unterführung Süd)","20230323000000","U15G3063867","4260","Gleisanlagen","Limmat","20230211000000","60","1.0000000000","POINT (2682347.8 1248427.2)"
"FZS_WEIN","Weinbergfussweg","20200212000000","U15G3063872","32","Polyterrasse","Hauptbahnhof","20130711000000","61","1.0700000000","POINT (2683511.2 1248165.5)"
"FZS_CHOR","Chorherrenweg","20160930000000","U15G4025180","391","Limmat","Meierhofplatz","20160401000000","62","0.7400000000","POINT (2680002 1250595.9)"
"FZS_INGA","In Gassen","20141107000000","U15G3063871","31","Paradeplatz","Rathaus","20130711000000","63","0.9500000000","POINT (2683267 1247228.9)"
"FZS_LANS","Langstrasse (Unterführung Süd)","20211028000000","U15G3104444","39","Gleisanlagen","Limmat","20150310000000","64","0.2300000000","POINT (2682359 1248456)"
"FZS_LANN","Langstrasse (Unterführung Nord)","20180203000000","U15G3063870","30","Limmatplatz","Helvetiaplatz","20130711000000","65","0.3200000000","POINT (2682322 1248435.1)"
"FZS_LIMM","Limmatquai","20181001000000","U15G3063873","33","Rathaus","Seeufer","20130711000000","66","1.1100000000","POINT (2683437 1247198.9)"
"FZS_MILI","Militärbrücke","20230323000000","U15G3063864","20","Löwenplatz","Langstrasse","20130711000000","67","0.5800000000","POINT (2682689 1247734.9)"
"FZS_ZEHN","Zehntenhausplatz Unterführung","20150331000000","U15G3104442","35","Louis Conne Weg","In Böden","20131128000000","68","0.9500000000","POINT (2680577 1252580.9)"
"FZS_ZEHN","Zehntenhausplatz Unterführung","20160331000000","U15G3104442","4","Louis Conne Weg","In Böden","20151001000000","69","0.9500000000","POINT (2680577 1252580.9)"
"FZS_QUAS","Quaibrücke Süd (Seeseite)","20160215000000","U15G3063867","25","Bellevue","Bürkliplatz","20130823000000","70","1.0400000000","POINT (2683407.5 1246794.6)"
"FZS_KATZ","Katzenbach","20171004000000","U15G3104442","1691","Affoltern","Seebach","20170411000000","71","0.1800000000","POINT (2681402 1253279.9)"
"VZS_LANN","Langstrasse (Unterführung Nord)","20180920000000","Y2G12102807","2319","Helvetiaplatz","Limmatplatz","20170908000000","72","0.9600000000","POINT (2682278 1248324.9)"
"VZS_LANN","Langstrasse (Unterführung Nord)","20191031000000","Y2H18106793","3597","Limmatplatz","Helvetiaplatz","20181030000000","73","0.9600000000","POINT (2682278 1248324.9)"
"FZS_OHMW","Ohmstrasse West","20210928000000","U15G3063867","1358","Sternen Oerlikon","Bhf. Oerlikon","20160902000000","74","1.2600000000","POINT (2683557.2 1251702.2)"
"FZS_LETD","Letten / Dynamo","20170410000000","U15G3063869","1359","Limmatplatz","Hauptbahnhof","20161001000000","75","0.8900000000","POINT (2682978 1248743.9)"
"FZS_HARD","Hardeggsteg","20170410000000","U15G4025180","1360","Kloster-Fahr-Weg","Hardturmstrasse","20161001000000","76","0.8600000000","POINT (2680439 1249929.9)"
"FZS_ZEHN","Zehntenhausplatz Unterführung","20170410000000","U15G3104442","1361","Louis Conne Weg","In Böden","20161001000000","77","0.9500000000","POINT (2680577 1252580.9)"
"FZS_MYTH","Mythenquai Unterführung","20170410000000","U15G3104443","1362","Seeufer","Bhf. Wollishofen","20161001000000","78","0.8500000000","POINT (2682813 1245489.9)"
"FZS_QUAS","Quaibrücke Süd (Seeseite)","20170313000000","YCH16039437","1365","Bürkliplatz","Bellevue","20161018000000","79","1.0000000000","POINT (2683407.5 1246794.6)"
"VZS_LANS","Langstrasse (Unterführung Süd)","20171002000000","Y2G13013264","2320","Helvetiaplatz","Limmatplatz","20170908000000","80","1.0000000000","POINT (2682360 1248448.2)"
"FZS_CHOR","Chorherrenweg","20181001000000","U15G4025180","2958","Limmat","Meierhofplatz","20180410000000","81","0.7400000000","POINT (2680002 1250595.9)"
"FZS_LETL","Lettenviadukt (Limmatstr.)","20181001000000","U15G3063869","2959","Limmat","Gleisanlagen","20180410000000","82","0.7900000000","POINT (2682171 1249123.9)"
"VZS_MUEH","Mühlebachstrasse","20231029000000","Y2H18106792","3598","Bellevue","Riesbach","20181031000000","83","1.1900000000","POINT (2684006 1246565.9)"
"VZS_BUCH","Bucheggplatz","20190618000000","ECO07111527","4237","Hofwiesenstrasse","Höngg","20190314000000","84","1.2700000000","POINT (2682647 1250363.9)"
"FZS_CHOR","Chorherrenweg","20190929000000","U15G3063873","4238","Limmat","Meierhofplatz","20190402000000","85","0.7400000000","POINT (2680002 1250595.9)"
"FZS_LETL","Lettenviadukt (Limmatstr.)","20191003000000","U15G3063869","4239","Limmat","Gleisanlagen","20190402000000","86","0.7900000000","POINT (2682171 1249123.9)"
"FZS_LETD","Letten / Dynamo","20200430000000","U15G3063869","2984","Limmatplatz","Hauptbahnhof","20191004000000","87","0.8900000000","POINT (2682977.8 1248744)"
"FZS_LETR","Lettenviadukt Rampe","20220905000000","U15G3063867","4252","Viadukt","Limmatstrasse","20220311000000","88","1.0000000000","POINT (2682194.5 1249145.8)"
"VZS_HOFW","Hofwiesenstrasse","","Y2H23015384","4258","Bucheggplatz","---","20230120000000","89","1.2800000000","POINT (2682683 1250569)"
"FZS_OHMW","Ohmstrasse West","20160420000000","U15G3063865","393","Sternen Oerlikon","Bhf. Oerlikon","20160402000000","90","1.2600000000","POINT (2683557.5 1251702.4)"
"FZS_OHMO","Ohmstrasse Ost","20230323000000","U15G3104447","394","Bhf. Oerlikon","Sternen Oerlikon","20160401000000","91","1.0700000000","POINT (2683573 1251686.9)"
"FZS_KATZ","Katzenbach","20160930000000","U15G3104442","392","Affoltern","Seebach","20160401000000","92","0.1800000000","POINT (2681402 1253279.9)"
"FZS_CASS","Cassiopeiasteg","20160930000000","U15G3104443","395","Stadtgrenze","Bellevue","20160405000000","93","0.9100000000","POINT (2683020.2 1244136.2)"
"VZS_TOED","Tödistrasse","20210220000000","Y2G13124877","1692","Seeufer","Hauptbahnhof","20170522000000","94","1.4100000000","POINT (2682881 1246548.9)"
"FZS_LETD","Letten / Dynamo","20180409000000","U15G3063869","2638","Limmatplatz","Hauptbahnhof","20171005000000","95","0.8900000000","POINT (2682978 1248743.9)"
"FZS_HARD","Hardeggsteg","20180409000000","U15G4025180","2639","Kloster-Fahr-Weg","Hardturmstrasse","20171005000000","96","0.8600000000","POINT (2680439 1249929.9)"
"FZS_ZEHN","Zehntenhausplatz Unterführung","20210729000000","U15G3104442","2640","Louis Conne Weg","In Böden","20171005000000","97","0.9500000000","POINT (2680577 1252580.9)"
"FZS_MYTH","Mythenquai Unterführung","20230323000000","U15G3104443","2641","Seeufer","Bhf. Wollishofen","20171005000000","98","0.8500000000","POINT (2682813 1245489.9)"
"VZS_LANN","Langstrasse (Unterführung Nord)","","Y2H19101255","2989","Helvetiaplatz","Limmatplatz","20191108000000","99","0.9600000000","POINT (2682278 1248324.4)"
"FZS_KATZ","Katzenbach","20230323000000","YPH15108550","2994","Affoltern","Seebach","20200203000000","100","0.1800000000","POINT (2681401.5 1253280.1)"
"VZS_SIHL","Sihlpromenade","","Y2H23015383","4259","Innenstadt","Saalsporthalle","20230120000000","101","1.0900000000","POINT (2682375 1247054.9)"
"VZS_SCHU","Schulstrasse","20230421000000","Y2H23046073","4264","Irchel","Bahnhof Oerlikon","20230323000000","102","1.4300000000","POINT (2683405.5 1251617.1)"
"VZS_LANS","Langstrasse (Unterführung Süd)","20170908000000","Y2H16039396","722","Helvetiaplatz","Limmatplatz","20160427000000","103","1.0000000000","POINT (2682360 1248448.2)"
"FZS_KLOE","Kloster-Fahr-Weg (Europabrücke)","20230323000000","U15G6121229","1681","Werdinsel","Innenstadt","20170113000000","104","1.1000000000","POINT (2680049 1250303.9)"
"FZS_CASS","Cassiopeiasteg","20200827000000","U15G3104446","2642","Stadtgrenze","Bellevue","20171017000000","105","0.9100000000","POINT (2683020.2 1244136.2)"
"VZS_BINZ","Binzmühlestrasse","20190314000000","ECO09113500","3282","Oerlikon","Glaubtenstrasse","20181010000000","106","1.2200000000","POINT (2681857 1251990.9)"
"VZS_LIMB","Limmatquai --> Bellevue","","Y2H19070585","2982","Bellevue","---","20190810000000","107","1.4700000000","POINT (2683447.2 1247062.6)"
"VZS_SAUM","Saumackerstrasse","20220522000000","Y2H20011946","2996","Uetliberg","Bahnhof Altstetten","20200214000000","108","1.2700000000","POINT (2679339.2 1249346.2)"
"VZS_LUXG","Lux-Guyer-Weg","","Y2H19101198","2997","Innenstadt","Wipkingen","20200214000000","109","1.0000000000","POINT (2682933.2 1248820.9)"
"VZS_MILI","Militärbrücke","","Y2H23046072","4262","Bahnhofstrasse","Langstrasse","20230323000000","110","0.9500000000","POINT (2682731 1247707.9)"
"VZS_SCHU","Schulstrasse","20250401000000","Y2H23046073","4263","Bahnhof Oerlikon","Irchel","20230422000000","111","1.4300000000","POINT (2683404 1251624)"
"VZS_BER2","Bertastrasse neu","","Y2H21111040","4266","Wiedikon","Aussersihl","20230530000000","112","1.0800000000","POINT (2681301 1247665)"
"VZS_TANN","Tannenrauchstrasse","","ZLT23070240","4269","Innenstadt","Wollishofen","20231006000000","113","1.0000000000","POINT (2682227 1244618)"
"FZS_ARBO","Arboretum","20230103000000","U15G3063865","1357","Stadtgrenze","Innenstadt","20160722000000","114","1.0200000000","POINT (2682973 1246328.9)"
"VZS_LANS","Langstrasse (Unterführung Süd)","20210421000000","Y2H16039396","3277","Limmatplatz","Helvetiaplatz","20180627000000","115","1.0000000000","POINT (2682296 1248311.1)"
"VZS_BINZ","Binzmühlestrasse","20221201000000","ECO09113500","2979","Oerlikon","Glaubtenstrasse","20190619000000","116","1.2200000000","POINT (2681857.8 1251990.6)"
"FZS_HARD","Hardeggsteg","20200430000000","U15G3063873","2985","Kloster-Fahr-Weg","Hardturmstrasse","20191004000000","117","0.8600000000","POINT (2680439.2 1249929.5)"
"FZS_CASS","Cassiopeiasteg","","YSH20124740","3015","Stadtgrenze","Bellevue","20210507000000","118","0.9100000000","POINT (2683022.5 1244140.1)"
"VZS_SAUM","Saumackerstrasse","20221027170713","Y2H22063445","4253","Uetliberg","Bahnhof Altstetten","20220523000000","119","1.2700000000","POINT (2679339.2 1249346.2)"
"VZS_SIHL","Sihlpromenade","20221129000000","Y2H22063445","4254","Innenstadt","Saalsporthalle","20221029000000","120","0.5500000000","POINT (2682375 1247054.9)"
"VZS_MUEH","Mühlebachstrasse","","Y2H18106792","4270","Bellevue","Riesbach","20231221000000","121","1.2400000000","POINT (2684006 1246565.9)"
"VZS_LANN","Langstrasse (Unterführung Nord)","20170908000000","Y2G13013264","1997","Helvetiaplatz","Limmatplatz","20170725000000","122","0.9600000000","POINT (2682278 1248324.9)"
"FZS_KATZ","Katzenbach","20191123000000","YPH15108550","2957","Affoltern","Seebach","20171129000000","123","0.1800000000","POINT (2681402 1253279.9)"
"VZS_ANDR","Andreasstrasse","","Y2H19090841","2986","Oerlikon","Wallisellen","20191011000000","124","1.1400000000","POINT (2684577.5 1251966.2)"
"FZS_WEIN","Weinbergfussweg","20230323000000","U15G3063872","2998","Polyterrasse","Hauptbahnhof","20200409000000","125","1.0700000000","POINT (2683511.8 1248166)"
"VZS_LIMC","Limmatquai --> Central","20230725000000","Y2H20083483","3008","Central","","20200824000000","126","0.5000000000","POINT (2683457 1247064.9)"
"FZS_LETL","Lettenviadukt (Limmatstr.)","20210921000000","U15G3063869","3013","Limmat","Gleisanlagen","20210324000000","127","0.7900000000","POINT (2682171 1249123.9)"
"FZS_CHOR","Chorherrenweg","20210921000000","U15G3063873","3014","Limmat","Meierhofplatz","20210325000000","128","0.7400000000","POINT (2680001.2 1250595.2)"
"VZS_TUNS","Stadttunnel Süd (Barometer)","","COM25020339","4272","beide Richtungen","---","20250506000000","129","1.0000000000","POINT (2682834 1247926)"
"FZS_QUAN","Quaibrücke Nord (Limmatseite)","20170313000000","YCH16121210","1682","Bellevue","Bürkliplatz","20170113000000","130","1.0000000000","POINT (2683403.2 1246821.1)"
"FZS_LANN","Langstrasse (Unterführung Nord)","20230323000000","U15G3063870","2961","Limmatplatz","Helvetiaplatz","20180413000000","131","0.3200000000","POINT (2682322 1248435.1)"
"FZS_HARD","Hardeggsteg","20190401000000","U15G3063873","3922","Kloster-Fahr-Weg","Hardturmstrasse","20190116000000","132","0.8600000000","POINT (2680439 1249929.9)"
"VZS_LAFS","Langstrasse (Fahrbahn Süd)","","Y2H21056105","4241","Limmatplatz","---","20210909000000","133","1.0000000000","POINT (2682296.8 1248327.5)"
"VZS_LAFN","Langstrasse (Fahrbahn Nord)","","Y2H21056106","4242","Helvetiaplatz","---","20210909000000","134","1.0000000000","POINT (2682337.2 1248451.1)"
"FZS_ARBO","Arboretum","20230323000000","U15G3063865","4261","Stadtgrenze","Innenstadt","20230215000000","135","1.0200000000","POINT (2682973 1246328.9)"
"VZS_HARN","Hardbrücke Nord (Seite Altstetten)","","Y2H16069942","732","Escher-Wyss-Platz","Hardplatz","20160707000000","136","1.1000000000","POINT (2681319.5 1248665.2)"
"VZS_HARS","Hardbrücke Süd (Seite HB)","","Y2H16069943","1037","Escher-Wyss-Platz","Hardplatz","20160707000000","137","1.0300000000","POINT (2681339 1248646.8)"
"FZS_LETL","Lettenviadukt (Limmatstr.)","20171004000000","U15G3063869","1689","Limmat","Gleisanlagen","20170410000000","138","0.7900000000","POINT (2682171 1249123.9)"
"FZS_CASS","Cassiopeiasteg","20171004000000","U15G3104443","1688","Stadtgrenze","Bellevue","20170411000000","139","0.9100000000","POINT (2683020.2 1244136.2)"
"FZS_CHOR","Chorherrenweg","20171004000000","U15G4025180","1690","Limmat","Meierhofplatz","20170411000000","140","0.7400000000","POINT (2680002 1250595.9)"
"VZS_LANS","Langstrasse (Unterführung Süd)","20180326000000","Y2H16039396","2637","Helvetiaplatz","Limmatplatz","20171003000000","141","1.0000000000","POINT (2682360 1248448.2)"
"FZS_HARD","Hardeggsteg","20190115000000","U15G4025180","3278","Kloster-Fahr-Weg","Hardturmstrasse","20181002000000","142","0.8600000000","POINT (2680439 1249929.9)"
"FZS_LIMM","Limmatquai","","YSH18065716","3279","Rathaus","Seeufer","20181001000000","143","1.1100000000","POINT (2683437 1247198.9)"
"FZS_LETD","Letten / Dynamo","20190401000000","U15G3063869","3281","Limmatplatz","Hauptbahnhof","20181001000000","144","0.8900000000","POINT (2682978 1248743.9)"
"VZS_LUXG","Lux-Guyer-Weg","20190307000000","ECO08011668","3917","Innenstadt","Wipkingen","20181221000000","145","1.0000000000","POINT (2682933 1248820.9)"
"VZS_SCHE","Scheuchzerstrasse","20190307000000","ECO06040592","3918","Innenstadt","Irchel","20181221000000","146","1.0500000000","POINT (2683573 1248544.9)"
"VZS_MYTH","Mythenquai","20190307000000","ECO07091438","3919","Innenstadt","Wollishofen","20181222000000","147","1.2000000000","POINT (2682873 1245890.9)"
"VZS_BERT","Bertastrasse","20190308000000","ECO07111527","3920","Wiedikon","Aussersihl","20181221000000","148","1.2700000000","POINT (2681385 1247735.9)"
"VZS_SIHL","Sihlpromenade","20190308000000","ECO07101504","3921","Innenstadt","Saalsporthalle","20181222000000","149","1.0900000000","POINT (2682375 1247054.9)"
"VZS_TALS","Talstrasse","","Y2H19111476","2991","Hauptbahnhof","Seeufer","20191204000000","150","1.3500000000","POINT (2682756 1247322.9)"
"FZS_CASS","Cassiopeiasteg","20210505000000","U15G3063866","3009","Stadtgrenze","Bellevue","20200827000000","151","0.9100000000","POINT (2683022.5 1244140.1)"
"VZS_BUCH","Bucheggplatz","","Y2H20114444","3012","Hofwiesenstrasse","Höngg","20210225000000","152","1.2700000000","POINT (2682646.8 1250363.9)"
"FZS_OHMW","Ohmstrasse West","20230323000000","U15G3063866","4243","Sternen Oerlikon","Bhf. Oerlikon","20211002000000","153","1.2600000000","POINT (2683557.2 1251702.2)"
"FZS_DAMW","Dammweg","","DGP22022111","4246","Limmatstrasse","Sihlquai","20220224000000","154","1.0000000000","POINT (2682146.5 1249212.4)"
"FZS_LANS","Langstrasse (Unterführung Süd)","20230124000000","U15G3104444","4247","Gleisanlagen","Limmat","20220224000000","155","1.0000000000","POINT (2682347.8 1248427.2)"
"VZS_BERT","Bertastrasse","20210921000000","ECO09113506","3923","Wiedikon","Aussersihl","20190309000000","156","1.2700000000","POINT (2681385 1247735.9)"
"VZS_SIHL","Sihlpromenade","20221027000000","ECO09113503","3924","Innenstadt","Saalsporthalle","20190309000000","157","1.0900000000","POINT (2682375 1247054.9)"
"VZS_SCHE","Scheuchzerstrasse","20190704000000","ECO09113501","3925","Innenstadt","Irchel","20190308000000","158","1.0500000000","POINT (2683573 1248544.9)"
"VZS_LUXG","Lux-Guyer-Weg","20200213000000","ECO09022739","3926","Innenstadt","Wipkingen","20190308000000","159","1.0000000000","POINT (2682933 1248820.9)"
"VZS_MYTH","Mythenquai","20220303000000","ECO09113499","3927","Innenstadt","Wollishofen","20190308000000","160","1.2000000000","POINT (2682873 1245890.9)"
"VZS_ZOLL","Zollstrasse","20220331000000","Y2H19070283","2980","Langstrasse","Sihlquai","20190723081500","161","1.4900000000","POINT (2682944.8 1248225)"
"FZS_HARD","Hardeggsteg","20210322000000","U15G3063873","3010","Kloster-Fahr-Weg","Hardturmstrasse","20201007000000","162","0.8600000000","POINT (2680439.2 1249929.5)"
"FZS_LETD","Letten / Dynamo","20210322000000","U15G3063869","3011","Limmatplatz","Hauptbahnhof","20201007000000","163","0.8900000000","POINT (2682977.8 1248744)"
"VZS_LANS","Langstrasse (Unterführung Süd)","","Y2H21111102","4249","Limmatplatz","Helvetiaplatz","20220304000000","164","1.0000000000","POINT (2682296 1248311.1)"
"FZS_LETL","Lettenviadukt (Limmatstr.)","20221010000000","U15G3063869","5000","Limmat","Gleisanlagen","20220406000000","165","0.7900000000","POINT (2682171 1249123.9)"
